causa_morte,descricao_morte,soma_morte
C155,Neoplasia Maligna do Terço Inferior do Esôfago,97
V280,Motociclista Traumatizado em um Acidente de Transporte Sem Colisão,96
V184,Ciclista Traumatizado em um Acidente de Transporte Sem Colisão,96
N209,"Calculose Urinária, Não Especificada",96
L989,"Afecções da Pele e do Tecido Subcutâneo, Não Especificados",96
I716,"Aneurisma da Aorta Toráco-abdominal, Sem Menção de Ruptura",96
Q878,"Outras Síndromes Com Malformações Congênitas Especificadas, Não Classificadas em Outra Parte",95
I518,Outras Doenças Mal Definidas do Coração,95
E059,Tireotoxicose Não Especificada,95
D593,Síndrome Hemolítico-urêmica,95
V295,"Passageiro Traumatizado em Colisão Com Outros Veículos e Com Veículos Não Especificados, a Motor, em um Acidente de Trânsito",94
C490,"Neoplasia Maligna do Tecido Conjuntivo e Tecidos Moles da Cabeça, Face e Pescoço",94
C268,Neoplasia Maligna do Aparelho Digestivo Com Lesão Invasiva,94
B218,Doença Pelo HIV Resultando em Outras Neoplasias Malignas,94
I720,Aneurisma da Artéria Carótida,93
C924,Leucemia Pró-mielocítica Aguda,93
A412,Septicemia Por Estafilococos Não Especificados,93
Y831,"Reação Anormal em Paciente ou Complicação Tardia, Causadas Por Intervenção Cirúrgica Com Implante de Uma Prótese Interna, Sem Menção de Acidente Durante a Intervenção",92
I610,Hemorragia Intracerebral Hemisférica Subcortical,92
E144,Diabetes Mellitus Não Especificado,92
D487,Neoplasia de Comportamento Incerto ou Desconhecido de Outras Localizações Especificadas,92
N319,Disfunção Neuromuscular Não Especificada da Bexiga,91
I81,Trombose da Veia Porta,91
G932,Hipertensão Intracraniana Benigna,91
D432,"Neoplasia de Comportamento Incerto ou Desconhecido do Encéfalo, Não Especificado",91
B451,Criptococose Cerebral,91
Y850,Seqüelas de um Acidente de Veículo a Motor,90
V039,"Pedestre Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Acidente Não Especificado se de Trânsito ou Não de Trânsito",90
Q203,Comunicação Ventrículo-atrial Discordante,90
N009,Síndrome Nefrítica Aguda,90
K660,Aderências Peritoniais,90
I891,Linfangite,90
C178,Neoplasia Maligna do Intestino Delgado Com Lesão Invasiva,90
X997,Agressão Por Meio de Objeto Cortante ou Penetrante,89
X718,Lesão Autoprovocada Intencionalmente Por Afogamento e Submersão,89
X705,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",89
V049,Pedestre Traumatizado em Colisão Com um Veículo de Transporte Pesado ou Com um Ônibus,89
R090,Asfixia,89
Q251,Coartação da Aorta,89
Q042,Holoprosencefalia,89
N429,Afecção Não Especificada da Próstata,89
E441,Desnutrição Protéico-calórica Leve,89
A920,Febre de Chikungunya,89
I723,Aneurisma de Artéria Ilíaca,88
E875,Hiperpotassemia,88
R58,Hemorragia Não Classificada em Outra Parte,87
P60,Coagulação Intravascular Disseminada do Feto e do Recém-nascido,87
F103,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,87
E854,Amiloidose Limitada a Órgãos,87
C321,Neoplasia Maligna da Região Supraglótica,87
V189,Ciclista Traumatizado em um Acidente de Transporte Sem Colisão,86
K429,Hérnia Umbilical Sem Obstrução ou Gangrena,86
E876,Hipopotassemia,86
D699,Afecção Hemorrágica Não Especificada,86
C300,Neoplasia Maligna da Cavidade Nasal,86
X699,"Auto-intoxicação Por e Exposição, Intencional, a Outros Produtos Químicos e Substâncias Nocivas Não Especificadas",85
X690,"Auto-intoxicação Por e Exposição, Intencional, a Outros Produtos Químicos e Substâncias Nocivas Não Especificadas",85
J13,Pneumonia Devida a Streptococcus Pneumoniae,85
F100,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,85
B59,Pneumocistose,85
X619,"Auto-intoxicação Por e Exposição, Intencional, a Drogas Anticonvulsivantes (antiepilépticos) Sedativos, Hipnóticos, Antiparkinsonianos e Psicotrópicos Não Classificados em Outra Parte",84
V879,Pessoa Traumatizada em Outros Acidentes de Transporte Especificados (com Colisão) (sem Colisão) Envolvendo um Veículo Não-motorizado (acidente de Trânsito),84
V139,"Ciclista Traumatizado em Colisão Com um Automóvel, ""pick Up"" ou Caminhonete - Ciclista Não Especificado Traumatizado em um Acidente de Trânsito",84
N111,Pielonefrite Obstrutiva Crônica,84
K295,"Gastrite Crônica, Sem Outra Especificação",84
I634,Infarto Cerebral Devido a Embolia de Artérias Cerebrais,84
F339,Transtorno Depressivo Recorrente Sem Especificação,84
F199,Transtornos Mentais e Comportamentais Devidos ao Uso de Múltiplas Drogas e ao Uso de Outras Substâncias Psicoativas,84
D439,"Neoplasia de Comportamento Incerto ou Desconhecido do Sistema Nervoso Central, Não Especificado",84
C028,Neoplasia Maligna da Língua Com Lesão Invasiva,84
Y204,"Enforcamento, Estrangulamento e Sufocação, Intenção Não Determinada",83
Y199,"Envenenamento (intoxicação) Por e Exposição a Outros Produtos Químicos e Substâncias Nocivas e Aos Não Especificados, Intenção Não Determinada",83
M319,Vasculopatia Necrotizante Não Especificada,83
X804,Lesão Autoprovocada Intencionalmente Por Precipitação de um Lugar Elevado,82
P022,Feto e Recém-nascido Afetados Por Outras Anormalidades Morfológicas e Funcionais da Placenta e as Não Especificadas,82
K567,"Íleo, Não Especificado",82
Y848,"Reação Anormal em Paciente ou Complicação Tardia, Causadas Por Outros Procedimentos Médicos, Sem Menção de Acidente Durante o Procedimento",81
X209,Contato Com Serpentes e Lagartos Venenosos,81
Q390,"Atresia de Esôfago, Sem Fístula",81
K839,"Doença Das Vias Biliares, Sem Outra Especificação",81
I828,Embolia e Trombose de Outras Veias Especificadas,81
G822,Paraplegia Não Especificada,81
F142,Transtornos Mentais e Comportamentais Devidos ao Uso da Cocaína,81
C578,Neoplasia Maligna Dos Órgãos Genitais Femininos Com Lesão Invasiva,81
X991,Agressão Por Meio de Objeto Cortante ou Penetrante,80
W670,Afogamento e Submersão em Piscina,80
W149,Queda de Árvore,80
N768,Outras Inflamações Especificadas da Vagina e da Vulva,80
K513,Retossigmoidite Ulcerativa (crônica),80
K271,Úlcera Péptica de Localização Não Especificada,80
D610,Anemia Aplástica Constitucional,80
X809,Lesão Autoprovocada Intencionalmente Por Precipitação de um Lugar Elevado,79
L024,"Abscesso Cutâneo, Furúnculo e Antraz Do(s) Membro(s)",79
I342,"Estenose (da Valva) Mitral, Não-reumática",79
D648,Outras Anemias Especificadas,79
X702,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",78
V870,Pessoa Traumatizada em Uma Colisão Entre um Automóvel (carro) e um Veículo a Motor de Duas ou Três Rodas (acidente de Trânsito),78
J848,Outras Doenças Pulmonares Intersticiais Especificadas,78
C252,Neoplasia Maligna da Cauda do Pâncreas,78
B029,Herpes Zoster Sem Complicação,78
Y284,"Contato Com Objeto Cortante ou Penetrante, Intenção Não Determinada",77
M199,Artrose Não Especificada,77
K869,"Doença do Pâncreas, Sem Outra Especificação",77
K743,Cirrose Biliar Primária,77
I616,Hemorragia Intracerebral de Múltiplas Localizações,77
G800,Paralisia Cerebral Quadriplágica Espástica,77
Y208,"Enforcamento, Estrangulamento e Sufocação, Intenção Não Determinada",76
X932,Agressão Por Meio de Disparo de Arma de Fogo de Mão,76
C857,Outros Tipos Especificados de Linfoma Não-Hodgkin,76
C399,Neoplasia Maligna de Localizações Mal Definidas do Aparelho Respiratório,76
C251,Neoplasia Maligna do Corpo do Pâncreas,76
B232,Doença Pelo HIV Resultando em Anomalias Hematológicas e Imunológicas Não Classificadas em Outra Parte,76
A810,Doença de Creutzfeldt-Jakob,76
O141,Pré-eclâmpsia Grave,75
M866,Outra Osteomielite Crônica,75
L022,"Abscesso Cutâneo, Furúnculo e Antraz do Tronco",75
I724,Aneurisma de Artéria Dos Membros Inferiores,75
I058,Outras Doenças da Valva Mitral,75
E782,Hiperlipidemia Mista,75
C161,Neoplasia Maligna do Fundo do Estômago,75
B91,Seqüelas de Poliomielite,75
M464,Discite Não Especificada,74
K221,Úlcera do Esôfago,74
J709,Afecções Respiratórias Devidas a Agentes Externos Não Especificados,74
I740,Embolia e Trombose da Aorta Abdominal,74
H669,Otite Média Não Especificada,74
G808,Outras Formas de Paralisia Cerebral,74
G042,Meningoencefalite e Meningomielite Bacterianas Não Classificadas em Outra Parte,74
B220,Doença Pelo HIV Resultando em Encefalopatia,74
B004,Encefalite Devida ao Vírus do Herpes,74
A99,Febres Hemorrágicas Virais Não Especificadas,74
W182,Outras Quedas no Mesmo Nível,73
P200,Hipóxia Intra-uterina Diagnosticada Antes do Início do Trabalho de Parto,73
N049,Síndrome Nefrótica,73
K811,Colecistite Crônica,73
K551,Transtornos Vasculares Crônicos do Intestino,73
J128,Outras Pneumonias Virais,73
I256,Isquemia Miocárdica Silenciosa,73
B948,Seqüelas de Outras Doenças Infecciosas e Parasitárias Especificadas,73
X979,"Agressão Por Meio de Fumaça, Fogo e Chamas",72
Q391,"Atresia de Esôfago, Com Fístula Traqueoesofágica",72
Q059,Espinha Bífida Não Especificada,72
J681,"Edema Pulmonar Devido a Produtos Químicos, Gases, Fumaças e Vapores",72
G98,Outros Transtornos do Sistema Nervoso Não Classificados em Outra Parte,72
C154,Neoplasia Maligna do Terço Médio do Esôfago,72
A394,Meningococcemia Não Especificada,72
A085,Outras Infecções Intestinais Especificadas,72
W694,Afogamento e Submersão em Águas Naturais,71
V484,Ocupante de um Automóvel (carro) Traumatizado em um Acidente de Transporte Sem Colisão,71
G310,Atrofia Cerebral Circunscrita,71
C699,"Neoplasia Maligna do Olho, Não Especificado",71
C433,Melanoma Maligno de Outras Partes e Partes Não Especificadas da Face,71
Q792,Exonfalia,70
K260,Úlcera Duodenal,70
I601,Hemorragia Subaracnóide Proveniente da Artéria Cerebral Média,70
C310,Neoplasia Maligna do Seio Maxilar,70
C089,"Neoplasia Maligna da Glândula Salivar Maior, Não Especificada",70
B575,Doença de Chagas (crônica) Com Comprometimento de Outros Órgãos,70
A403,Septicemia Por Streptococcus Pneumonia,70
A35,Outros Tipos de Tétano,70
A270,Leptopirose Icterohemorrágica,70
Y883,Seqüelas de Reação Anormal em Paciente ou Complicação Tardia Causada Por Procedimento Médico e Cirúrgico Sem Menção de Acidente Durante o Procedimento,69
V878,"Pessoa Traumatizada em Outros Acidentes de Transporte Especificados Com Veículo a Motor, Sem Colisão (acidente de Trânsito)",69
V545,Ocupante de Uma Caminhonete Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,69
Q031,Atresia Das Fendas de Luschka e do Forâmen de Magendie,69
P009,Feto e Recém-nascido Afetados Por Afecção Materna Não Especificada,69
N133,Outras Hidronefroses e as Não Especificadas,69
K668,Outras Afecções Especificadas do Peritônio,69
K262,Úlcera Duodenal,69
J398,Outras Doenças Especificadas Das Vias Aéreas Superiores,69
I859,Varizes Esofagianas Sem Sangramento,69
I424,Fibroelastose Endocárdica,69
G119,Ataxia Hereditária Não Especificada,69
D464,"Anemia Refratária, Não Especificada",69
C494,Neoplasia Maligna do Tecido Conjuntivo e Tecidos Moles do Abdome,69
V209,Motociclista Traumatizado em Colisão Com um Pedestre ou um Animal,68
N170,Insuficiência Renal Aguda Com Necrose Tubular,68
M629,Transtorno Muscular Não Especificado,68
K638,Outras Doenças Especificadas do Intestino,68
I513,"Trombose Intracardíaca, Não Classificada em Outra Parte",68
F200,Esquizofrenia Paranóide,68
C791,"Neoplasia Maligna Secundária da Bexiga, de Outro Órgão Urinário e Não Especificado",68
Y280,"Contato Com Objeto Cortante ou Penetrante, Intenção Não Determinada",67
X944,"Agressão Por Meio de Disparo de Espingarda, Carabina ou Arma de Fogo de Maior Calibre",67
W747,Afogamento e Submersão Não Especificados,67
P201,Hipóxia Intra-uterina Diagnosticada Durante o Trabalho de Parto e o Parto,67
K610,Abscesso Anal,67
G129,Atrofia Muscular Espinal Não Especificada,67
E114,Diabetes Mellitus Não-insulino-dependente,67
D259,"Leiomioma do Útero, Não Especificado",67
C319,"Neoplasia Maligna do Seio da Face, Não Especificado",67
V275,Motociclista Traumatizado em Colisão Com um Objeto Fixo ou Parado,66
M169,Coxartrose Não Especificada,66
J942,Hemotórax,66
J152,Pneumonia Devida a Staphylococcus,66
I809,Flebite e Tromboflebite de Localização Não Especificada,66
D589,Anemia Hemolítica Hereditária Não Especificada,66
C445,Neoplasia Maligna da Pele do Tronco,66
A319,Infecção Micobacteriana Não Especificada,66
Y149,"Envenenamento (intoxicação) Por e Exposição a Outras Drogas, Medicamentos e Substâncias Biológicas e as Não Especificadas, Intenção Não Determinada",65
W207,"Impacto Causado Por Objeto Lançado, Projetado ou em Queda",65
O995,"Doenças do Aparelho Respiratório Complicando a Gravidez, o Parto e o Puerpério",65
N201,Calculose do Ureter,65
K818,Outras Colecistites,65
J679,Pneumonite de Hipersensibilidade Devida a Poeira Orgânica Não Especificada,65
I602,Hemorragia Subaracnóide Proveniente da Artéria Comunicante Anterior,65
I409,Miocardite Aguda Não Especificada,65
I278,Outras Doenças Pulmonares do Coração Especificadas,65
I253,Aneurisma Cardíaco,65
C796,Neoplasia Maligna Secundária do Ovário,65
X000,Exposição a Fogo Não-controlado em um Edifício ou Outro Tipo de Construção,64
W344,Projéteis de Outras Armas de Fogo e Das Não Especificadas,64
Q019,Encefalocele Não Especificada,64
M311,Microangiopatia Trombótica,64
I839,Varizes Dos Membros Inferiores Sem Úlcera ou Inflamação,64
C37,Neoplasia Maligna do Timo,64
C12,Neoplasia Maligna do Seio Piriforme,64
W697,Afogamento e Submersão em Águas Naturais,63
Q606,Síndrome de Potter,63
Q200,Tronco Arterial Comum,63
L511,Eritema Multiforme Bolhoso,63
K745,"Cirrose Biliar, Sem Outra Especificação",63
A390,Meningite Meningocócica,63
Y159,"Envenenamento (intoxicação) Por e Exposição ao Álcool, Intenção Não Determinada",62
W070,Queda de Uma Cadeira,62
O95,Morte Obstétrica de Causa Não Especificada,62
O721,Outras Hemorragias do Pós-parto Imediato,62
K421,Hérnia Umbilical Com Gangrena,62
G92,Encefalopatia Tóxica,62
C711,Neoplasia Maligna do Lobo Frontal,62
B574,Doença de Chagas (crônica) Com Comprometimento do Sistema Nervoso,62
Y129,"Envenenamento (intoxicação) Por e Exposição a Narcóticos e a Psicodislépticos (alucinógenos) Não Classificados em Outra Parte, Intenção Não Determinada",61
W014,"Queda no Mesmo Nível Por Escorregão, Tropeção ou Passos em Falsos (traspés)",61
V029,Pedestre Traumatizado em Colisão Com um Veículo a Motor de Duas ou Três Rodas,61
K270,Úlcera Péptica de Localização Não Especificada,61
I611,Hemorragia Intracerebral Hemisférica Cortical,61
C66,Neoplasia Maligna Dos Ureteres,61
C261,Neoplasia Maligna do Baço,61
X808,Lesão Autoprovocada Intencionalmente Por Precipitação de um Lugar Elevado,60
W877,Exposição a Corrente Elétrica Não Especificada,60
W788,Inalação do Conteúdo Gástrico,60
W198,Queda Sem Especificação,60
V298,Motociclista (qualquer) Traumatizado em Outros Acidentes de Transporte Especificados,60
P261,Hemorragia Pulmonar Maciça Originada no Período Perinatal,60
M729,Transtorno Fibroblástico Não Especificado,60
K20,Esofagite,60
J708,Afecções Respiratórias Devidas a Outros Agentes Externos Especificados,60
J680,"Bronquite e Pneumonite Devida a Produtos Químicos, Gases, Fumaças e Vapores",60
I071,Insuficiência Tricúspide,60
I019,Doença Cardíaca Reumática Aguda Não Especificada,60
C488,Neoplasia Maligna Dos Tecidos Moles do Retroperitônio e do Peritônio Com Lesão Invasiva,60
X974,"Agressão Por Meio de Fumaça, Fogo e Chamas",59
X769,"Lesão Autoprovocada Intencionalmente Pela Fumaça, Pelo Fogo e Por Chamas",59
X760,"Lesão Autoprovocada Intencionalmente Pela Fumaça, Pelo Fogo e Por Chamas",59
X744,Lesão Autoprovocada Intencionalmente Por Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada,59
W178,Outras Quedas de um Nível a Outro,59
V059,Pedestre Traumatizado em Colisão Com Trem (comboio) ou um Veículo Ferroviário,59
N288,Outros Transtornos Especificados do Rim e do Ureter,59
L080,Piodermite,59
K228,Outras Doenças Especificadas do Esôfago,59
C481,Neoplasia Maligna de Partes Especificadas do Peritônio,59
Y298,"Contato Com Objeto Contundente, Intenção Não Determinada",58
Q220,Atresia da Valva Pulmonar,58
P228,Outros Desconfortos Respiratórios do Recém-nascido,58
K928,Outras Doenças Especificadas do Aparelho Digestivo,58
K318,Outras Doenças Especificadas do Estômago e do Duodeno,58
I348,Outros Transtornos Não-reumáticos da Valva Mitral,58
D352,Neoplasia Benigna da Glândula Hipófise (pituitária),58
C051,Neoplasia Maligna do Palato Mole,58
B210,Doença Pelo HIV Resultando em Sarcoma de Kaposi,58
Y342,Fatos ou Eventos Não Especificados e Intenção Não Determinada,57
W690,Afogamento e Submersão em Águas Naturais,57
N139,Uropatia Obstrutiva e Por Refluxo Não Especificada,57
J431,Enfisema Panlobular,57
J151,Pneumonia Devida a Pseudomonas,57
G911,Hidrocefalia Obstrutiva,57
F107,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,57
D599,Anemia Hemolítica Adquirida Não Especificada,57
D391,Neoplasia de Comportamento Incerto ou Desconhecido do Ovário,57
A879,Meningite Viral Não Especificada,57
Y034,Agressão Por Meio de Impacto de um Veículo a Motor,56
V809,Pessoa Montada em Animal ou Ocupante de um Veículo a Tração Animal Traumatizado em Outros Acidentes de Transporte e em Acidentes de Transporte Não Especificados,56
G930,Cistos Cerebrais,56
G458,Outros Acidentes Isquêmicos Cerebrais Transitórios e Síndromes Correlatas,56
F322,Episódio Depressivo Grave Sem Sintomas Psicóticos,56
E137,Outros Tipos Especificados de Diabetes Mellitus,56
E127,Diabetes Mellitus Relacionado Com a Desnutrição,56
D45,Policitemia Vera,56
C680,Neoplasia Maligna da Uretra,56
B377,Septicemia Por Candida,56
W138,Queda de ou Para Fora de Edifícios ou Outras Estruturas,55
O150,Eclâmpsia na Gravidez,55
K220,Acalásia do Cárdia,55
J329,Sinusite Crônica Não Especificada,55
G403,Epilepsia e Síndromes Epilépticas Generalizadas Idiopáticas,55
D377,Neoplasia de Comportamento Incerto ou Desconhecido de Outros Órgãos Digestivos,55
C902,Plasmocitoma Extramedular,55
C548,Neoplasia Maligna do Corpo do Útero Com Lesão Invasiva,55
C442,Neoplasia Maligna da Pele da Orelha e do Conduto Auditivo Externo,55
Y260,"Exposição a Fumaça, Fogo e Chamas, Intenção Não Determinada",54
X824,Lesão Autoprovocada Intencionalmente Por Impacto de um Veículo a Motor,54
R048,Hemorragia de Outras Localizações Das Vias Respiratórias,54
Q079,Malformação Congênita Não Especificada do Sistema Nervoso,54
L120,Penfigóide Bolhoso,54
K571,Doença Diverticular do Intestino Delgado Sem Perfuração ou Abscesso,54
J860,Piotórax Com Fístula,54
G408,Outras Epilepsias,54
F149,Transtornos Mentais e Comportamentais Devidos ao Uso da Cocaína,54
E859,Amiloidose Não Especificada,54
E104,Diabetes Mellitus Insulino-dependente,54
B349,Infecção Viral Não Especificada,54
B217,Doença Pelo HIV Resultando em Múltiplas Neoplasias Malignas,54
A509,Sífilis Congênita Não Especificada,54
A410,Septicemia Por Staphylococcus Aureus,54
A170,Meningite Tuberculosa,54
X424,Envenenamento (intoxicação) Acidental Por e Exposição a Narcóticos e Psicodislépticos (alucinógenos) Não Classificados em Outra Parte,53
Q209,Malformação Congênita Não Especificada Das Câmaras e Das Comunicações Cardíacas,53
P039,Feto e Recém-nascido Afetados Por Complicações Não Especificadas do Trabalho de Parto e do Parto,53
O882,Embolia Obstétrica Por Coágulo de Sangue,53
K661,Hemoperitônio,53
K561,Intussuscepção,53
I341,Prolapso (da Valva) Mitral,53
G969,Transtorno Não Especificado do Sistema Nervoso Central,53
G825,Tetraplegia Não Especificada,53
E874,Distúrbio Misto do Equilíbrio Ácido-básico,53
C925,Leucemia Mielomonocítica Aguda,53
C844,"Linfoma de Células T, Periférico",53
C501,Neoplasia Maligna da Porção Central da Mama,53
A165,"Pleurisia Tuberculosa, Sem Menção de Confirmação Bacteriológica ou Histológica",53
Y849,"Reação Anormal em Paciente ou Complicação Tardia, Causadas Por Procedimento Médico, Não Especificado, Sem Menção de Acidente Durante o Procedimento",52
W188,Outras Quedas no Mesmo Nível,52
V699,Ocupante (qualquer) de um Veículo de Transporte Pesado Traumatizado em um Acidente de Trânsito Não Especificado,52
Q208,Outras Malformações Congênitas Das Câmaras e Das Comunicações Cardíacas,52
P298,Outros Transtornos Cardiovasculares Originados no Período Perinatal,52
K450,"Outras Hérnias Abdominais Especificadas, Com Obstrução, Sem Gangrena",52
J450,Asma Predominantemente Alérgica,52
G903,Degeneração Multissistêmica,52
F059,Delirium Não Especificado,52
C97,Neoplasias Malignas de Localizações Múltiplas Independentes (primárias),52
C830,"Linfoma Não-Hodgkin Difuso, Pequenas Células (difuso)",52
C696,Neoplasia Maligna da Órbita,52
A409,Septicemia Estreptocócica Não Especificada,52
Y201,"Enforcamento, Estrangulamento e Sufocação, Intenção Não Determinada",51
W782,Inalação do Conteúdo Gástrico,51
V686,Ocupante de um Veículo de Transporte Pesado Traumatizado em um Acidente de Transporte Sem Colisão,51
Q439,Malformação Congênita Não Especificada do Intestino,51
P780,Perfuração Intestinal no Período Perinatal,51
N321,Fístula Êntero-vesical,51
K223,Perfuração do Esôfago,51
E662,Obesidade Extrema Com Hipoventilação Alveolar,51
C459,"Mesotelioma, Não Especificado",51
C418,Neoplasia Maligna Dos Ossos e Das Cartilagens Articulares Com Lesão Invasiva,51
B690,Cisticercose do Sistema Nervoso Central,51
X970,"Agressão Por Meio de Fumaça, Fogo e Chamas",50
V051,Pedestre Traumatizado em Colisão Com Trem (comboio) ou um Veículo Ferroviário,50
Q898,Outras Malformações Congênitas Especificadas,50
P299,Transtornos Cardiovasculares Não Especificados Originados no Período Perinatal,50
P292,Hipertensão Neonatal,50
O159,Eclâmpsia Não Especificada Quanto ao Período,50
N419,Doença Inflamatória Não Especificada da Próstata,50
M469,Espondilopatia Inflamatória Não Especificada,50
I822,Embolia e Trombose de Veia Cava,50
I748,Embolia e Trombose de Outras Artérias,50
G909,Transtorno Não Especificado do Sistema Nervoso Autônomo,50
G628,Outras Polineuropatias Especificadas,50
W800,Inalação e Ingestão de Outros Objetos Causando Obstrução do Trato Respiratório,49
V874,Pessoa Traumatizada em Uma Colisão Entre um Automóvel (carro) e um Veículo de Transporte Pesado (acidente de Trânsito),49
Q870,Síndromes Com Malformações Congênitas Afetando Predominantemente o Aspecto da Face,49
Q619,Doença Cística Não Especificada do Rim,49
Q219,Malformação Congênita Não Especificada de Septo Cardíaco,49
P003,Feto e Recém-nascido Afetados Por Outras Doenças Circulatórias e Respiratórias Maternas,49
M313,Granulomatose de Wegener,49
L930,Lúpus Eritematoso Discóide,49
I778,Outras Afecções Especificadas Das Artérias e Das Arteríolas,49
I309,Pericardite Aguda Não Especificada,49
I081,Transtornos de Ambas as Valvas Mitral e Tricúspide,49
D400,Neoplasia de Comportamento Incerto ou Desconhecido da Próstata,49
C498,Neoplasia Maligna do Tecido Conjuntivo e Dos Tecidos Moles Com Lesão Invasiva,49
C435,Melanoma Maligno do Tronco,49
X937,Agressão Por Meio de Disparo de Arma de Fogo de Mão,48
W875,Exposição a Corrente Elétrica Não Especificada,48
V225,Motociclista Traumatizado em Colisão Com um Veículo a Motor de Duas ou Três Rodas,48
Q442,Atresia Das Vias Biliares,48
P398,Outras Infecções Especificadas Próprias do Período Perinatal,48
P023,Feto e Recém-nascido Afetados Por Síndromes de Transfusão Placentária,48
P020,Feto e Recém-nascido Afetados Por Placenta Prévia,48
I776,Arterite Não Especificada,48
I441,Bloqueio Atrioventricular de Segundo Grau,48
I254,Aneurisma de Artéria Coronária,48
G912,Hidrocefalia de Pressão Normal,48
C792,Neoplasia Maligna Secundária da Pele,48
B92,Seqüelas de Hanseníase (lepra),48
Y859,Seqüelas de Outros Acidentes de Transporte e Dos Não Especificados,47
Y089,Agressão Por Outros Meios Especificados,47
X789,Lesão Autoprovocada Intencionalmente Por Objeto Cortante ou Penetrante,47
X449,"Envenenamento (intoxicação) Acidental Por e Exposição a Outras Drogas, Medicamentos e Substâncias Biológicas Não Especificadas",47
X049,Exposição a Combustão de Substância Muito Inflamável,47
W730,Outros Afogamentos e Submersão Especificados,47
W340,Projéteis de Outras Armas de Fogo e Das Não Especificadas,47
W136,Queda de ou Para Fora de Edifícios ou Outras Estruturas,47
V444,Ocupante de um Automóvel (carro) Traumatizado em Colisão Com um Veículo de Transporte Pesado ou um Ônibus,47
R190,"Massa, Tumoração ou Tumefação Intra-abdominal e Pélvica",47
R060,Dispnéia,47
P025,Feto e Recém-nascido Afetados Por Outras Compressões do Cordão Umbilical,47
M600,Miosite Infecciosa,47
L512,Necrólise Epidérmica Tóxica (Síndrome de Lyell),47
L021,"Abscesso Cutâneo, Furúnculo e Antraz do Pescoço",47
K625,Hemorragia do Ânus e do Reto,47
K599,"Transtorno Intestinal Funcional, Não Especificado",47
I770,Fístula Arteriovenosa Adquirida,47
C951,Leucemia Crônica de Tipo Celular Não Especificado,47
C779,"Neoplasia Maligna Secundária e Não Especificada de Gânglio Linfático, Não Especificado",47
C530,Neoplasia Maligna do Endocérvix,47
Y872,Seqüelas de um Fato Cuja Intenção é Indeterminada,46
W174,Outras Quedas de um Nível a Outro,46
V270,Motociclista Traumatizado em Colisão Com um Objeto Fixo ou Parado,46
V230,"Motociclista Traumatizado em Colisão Com um Automóvel (carro), ""pick Up"" ou Caminhonete - Condutor Traumatizado em Acidente Não-de-trânsito",46
P288,Outras Afecções Respiratórias Especificadas do Recém-nascido,46
N136,Pionefrose,46
K710,Doença Hepática Tóxica Com Colestase,46
K558,Outros Transtornos Vasculares do Intestino,46
H709,Mastoidite Não Especificada,46
G609,Neuropatia Hereditária e Idiopática Não Especificada,46
E831,Doença do Metabolismo do Ferro,46
D591,Outras Anemias Hemolíticas Auto-imunes,46
C835,"Linfoma Não-Hodgkin Difuso, Linfoblástico (difuso)",46
C450,Mesotelioma da Pleura,46
X940,"Agressão Por Meio de Disparo de Espingarda, Carabina ou Arma de Fogo de Maior Calibre",45
R001,Bradicardia Não Especificada,45
Q850,Neurofibromatose (não-maligna),45
N739,Doença Inflamatória Não Especificada da Pelve Feminina,45
M179,Gonartrose Não Especificada,45
K351,Apendicite Aguda Com Abscesso Peritonial,45
K266,Úlcera Duodenal,45
K122,Celulite e Abscesso da Boca,45
J210,Bronquiolite Aguda Devida a Vírus Sincicial Respiratório,45
E161,Outra Hipoglicemia,45
E15,Coma Hipoglicêmico Não-diabético,45
D371,Neoplasia de Comportamento Incerto ou Desconhecido do Estômago,45
C728,Neoplasia Maligna do Encéfalo e de Outras Partes do Sistema Nervoso Central Com Lesão Invasiva,45
C712,Neoplasia Maligna do Lobo Temporal,45
C437,"Melanoma Maligno do Membro Inferior, Incluindo Quadril",45
A151,"Tuberculose Pulmonar, Com Confirmação Somente Por Cultura",45
X949,"Agressão Por Meio de Disparo de Espingarda, Carabina ou Arma de Fogo de Maior Calibre",44
X748,Lesão Autoprovocada Intencionalmente Por Disparo de Outra Arma de Fogo e de Arma de Fogo Não Especificada,44
W135,Queda de ou Para Fora de Edifícios ou Outras Estruturas,44
W134,Queda de ou Para Fora de Edifícios ou Outras Estruturas,44
Q601,Agenesia Bilateral do Rim,44
Q225,Anomalia de Ebstein,44
K413,"Hérnia Femoral Unilateral ou Não Especificada, Com Obstrução, Sem Gangrena",44
E888,Outros Distúrbios Especificados do Metabolismo,44
C380,Neoplasia Maligna do Coração,44
V849,Ocupante Não Especificado de um Veículo Especial a Motor de Uso Essencialmente Agrícola Traumatizada em um Acidente Não-de-trânsito,43
